date,Stock Change,twt_HARV_ Hostile,twt_HARV_Pain,twt_HARV_Vice,twt_HARV_Legal,twt_HARV_Milit,twt_HARV_PowCon,fb_HARV_Hostile,fb_HARV_Pain,fb_HARV_Vice,fb_HARV_Legal,fb_HARV_Milit,fb_HARV_PowCon,Press Active Index,news count,news compound,news pos,news neu,news neg,Conflict Count,Fatalities,Conflict Count of 5 days later,Fatalities of 5 days later,Conflict Count of 10 days later,Fatalities of 10 days later,Conflict Count of 15 days later,Fatalities of 15 days later,Conflict Count of 20 days later,Fatalities of 20 days later,Conflict Count of 25 days later,Fatalities of 25 days later,Conflict Count of 30 days later,Fatalities of 30 days later
2/21/2013,,2.610493668,0.336004135,1.279400362,1.667097441,0.19384854,0.542775911,2.048487126,0.187934599,0.958466454,1.785378688,0.732944935,0.545010336,0.354578436,44,0.284252273,0.091,0.853659091,0.055409091,1,7,3,2,5,1,0,0,0,0,3,4,0,0
2/22/2013,-0.0055,2.254149121,0.185781521,1.275699777,1.176616299,0.111468913,0.668813475,1.487692724,0.108195834,0.649175007,2.109818772,0.459832296,0.811468758,0.044324139,41,0.555753659,0.095536585,0.850829268,0.053536585,2,1,2,0,11,21,3,0,1,1,5,2,0,0
2/23/2013,,2.811888236,0.373731981,1.494927923,0.961025093,0.231357893,0.854244527,1.56873172,0.053177346,0.638128157,1.223078968,0.265886732,0.584950811,-0.068783339,38,0.340523684,0.087052632,0.854631579,0.058236842,0,0,2,1,4,0,1,0,5,0,6,5,0,0
2/24/2013,,2.141925871,0.298007078,1.285155522,1.024399329,0.130378096,0.465636059,1.584101382,0.17281106,0.806451613,0.892857143,0.576036866,0.921658986,-0.295235513,0,0,0,0,0,3,0,7,8,5,1,2,0,3,3,1,0,1,2
2/25/2013,-0.0032,2.360364571,0.222014489,1.209394718,1.378826829,0.146062164,0.736153307,2.160750326,0.213700582,1.199097709,1.54339309,0.213700582,0.831057818,1.722233992,37,0.200113514,0.078567568,0.861162162,0.060162162,1,0,1,0,3,0,3,1,1,0,2,0,0,0
2/26/2013,,1.998726926,0.4837683,1.362189688,1.043921069,0.26734564,0.50922979,1.623455294,0.169614732,1.04191907,1.332687182,0.629997577,0.848073661,0.061888308,39,0.029238462,0.077589744,0.858307692,0.064179487,3,2,5,1,0,0,0,0,3,4,0,0,1,9
2/27/2013,0.0112,1.684463829,0.165438412,1.143029027,1.248308016,0.210557979,0.526394947,1.716839135,0.258701787,1.081843838,1.69332079,0.587958608,0.705550329,0.161518296,50,0.08875,0.06938,0.86538,0.06528,2,0,11,21,3,0,1,1,5,2,0,0,0,0
2/28/2013,0.0011,2.099491843,0.213960952,1.564589462,1.08317732,0.213960952,0.508157261,1.894537417,0.031575624,1.420903063,1.547205557,0.663088096,0.726239343,-0.54827202,38,-0.074357895,0.072421053,0.860631579,0.066947368,2,1,4,0,1,0,5,0,6,5,0,0,10,5
3/1/2013,-0.0018,1.918853312,0.196509074,1.098138943,1.294648018,0.416136863,0.647324009,1.642070256,0.249428393,0.623570983,1.371856163,0.706713781,0.72749948,0.154225363,40,0.333945,0.0867,0.859875,0.053325,7,8,5,1,2,0,3,3,1,0,1,2,8,4
3/2/2013,,2.102407596,0.226065333,0.994687465,1.424211597,0.2373686,0.746015599,1.818622696,0.048496605,1.042677013,1.357904947,0.387972842,0.775945684,-0.515397604,36,0.45935,0.093333333,0.84625,0.060555556,1,0,3,0,3,1,1,0,2,0,0,0,7,1
3/3/2013,,2.262493136,0.27457441,1.241076332,1.285008237,0.219659528,0.823723229,1.888469229,0.244390136,0.977560542,0.933125972,0.355476561,0.688735836,0.031343179,4,-0.905,0.03925,0.81075,0.15025,5,1,0,0,0,0,3,4,0,0,1,9,4,4
