,compound,neg,neu,pos
0,0.4118,0.033,0.919,0.048
1,-0.9805,0.14,0.823,0.038
2,-0.758,0.077,0.883,0.039
3,-0.9261,0.083,0.868,0.049
4,-0.9912,0.256,0.709,0.035
5,-0.9869,0.15,0.774,0.077
6,0.9366,0.022,0.919,0.059
7,-0.7372,0.065,0.885,0.05
8,-0.9727,0.135,0.786,0.079
9,-0.9769,0.156,0.803,0.042
10,-0.9468,0.122,0.818,0.06
11,0.9919,0.015,0.816,0.169
12,-0.5419,0.055,0.895,0.05
13,-0.3612,0.046,0.905,0.049
14,-0.9698,0.122,0.841,0.038
15,0.9947,0.006,0.888,0.107
16,-0.8434,0.074,0.877,0.048
17,-0.7906,0.093,0.864,0.043
18,-0.714,0.08,0.868,0.052
19,-0.8146,0.07,0.873,0.057
20,-0.9947,0.2,0.77,0.03
21,0.967,0.048,0.842,0.11
22,0.9801,0.06,0.766,0.174
23,0.5574,0.03,0.923,0.047
24,0.8278,0.076,0.828,0.096
25,-0.9133,0.071,0.883,0.046
26,0.9942,0.04,0.784,0.176
27,0.1255,0.048,0.897,0.054
28,-0.8037,0.035,0.96,0.004
29,0.9432,0.037,0.867,0.096
30,0.6249,0.087,0.811,0.102
31,0.875,0.053,0.825,0.123
32,-0.989,0.1,0.834,0.066
33,0.9473,0.0,0.938,0.062
34,-0.984,0.164,0.836,0.0
35,0.9776,0.026,0.826,0.147
36,0.1191,0.082,0.835,0.083
37,0.3506,0.052,0.891,0.057
38,-0.9481,0.11,0.822,0.068
39,-0.4767,0.061,0.891,0.048
40,0.3506,0.052,0.891,0.057
41,-0.9865,0.103,0.835,0.061
42,0.9776,0.026,0.826,0.147
43,0.7396,0.029,0.901,0.069
44,-0.9846,0.139,0.8,0.061
