,compound,neg,neu,pos
0,0.9109,0.0,0.891,0.109
1,-0.2732,0.045,0.915,0.041
2,-0.8971,0.074,0.886,0.04
3,0.9937,0.043,0.848,0.108
4,-0.9959,0.184,0.779,0.038
5,-0.7311,0.063,0.883,0.055
6,0.988,0.006,0.838,0.155
7,-0.9382,0.086,0.869,0.045
8,0.9965,0.044,0.801,0.155
9,0.9455,0.058,0.834,0.108
10,-0.9844,0.103,0.851,0.046
11,0.9977,0.058,0.717,0.225
12,-0.9939,0.146,0.8,0.054
13,-0.9917,0.161,0.796,0.043
14,0.0183,0.058,0.88,0.062
15,0.9454,0.044,0.842,0.113
16,-0.9652,0.058,0.932,0.011
17,0.9423,0.019,0.897,0.084
18,-0.9834,0.148,0.819,0.033
19,0.9402,0.088,0.814,0.099
20,0.7533,0.051,0.882,0.067
21,-0.9741,0.182,0.801,0.017
22,0.743,0.0,0.946,0.054
23,0.9832,0.031,0.86,0.109
24,0.719,0.069,0.835,0.096
25,-0.91,0.082,0.869,0.049
26,-0.985,0.15,0.818,0.032
27,0.9988,0.043,0.773,0.184
28,-0.9371,0.202,0.74,0.058
29,-0.9765,0.074,0.867,0.059
30,0.991,0.063,0.789,0.148
31,-0.2846,0.037,0.933,0.03
32,-0.9584,0.115,0.83,0.055
33,0.2988,0.029,0.924,0.047
34,0.9844,0.062,0.818,0.119
35,0.5423,0.058,0.862,0.08
36,-0.9566,0.121,0.835,0.044
37,0.9691,0.033,0.872,0.095
38,-0.9967,0.2,0.767,0.034
39,0.9674,0.043,0.845,0.112
40,0.224,0.126,0.737,0.137
41,0.9565,0.015,0.894,0.092
42,0.8126,0.053,0.857,0.09
43,-0.9962,0.174,0.72,0.106
44,-0.6124,0.048,0.928,0.023
45,-0.743,0.037,0.931,0.031
46,-0.7506,0.057,0.902,0.041
47,0.8455,0.037,0.881,0.082
48,-0.6006,0.053,0.915,0.033
49,0.9858,0.034,0.824,0.142
50,-0.8634,0.116,0.789,0.096
51,0.9744,0.009,0.921,0.071
52,0.926,0.037,0.879,0.084
53,-0.9366,0.064,0.919,0.017
54,0.34,0.0,0.982,0.018
55,0.9904,0.047,0.817,0.136
56,-0.9729,0.181,0.751,0.068
57,-0.9657,0.14,0.783,0.077
58,-0.4638,0.067,0.863,0.069
59,-0.9559,0.214,0.736,0.051
60,0.9571,0.013,0.923,0.065
61,0.9279,0.109,0.779,0.113
62,0.9839,0.028,0.87,0.102
63,0.8375,0.045,0.877,0.078
64,-0.9866,0.116,0.853,0.031
65,0.9623,0.049,0.824,0.127
66,0.0818,0.073,0.852,0.076
67,0.9381,0.048,0.882,0.07
68,0.7639,0.057,0.861,0.082
69,-0.8443,0.108,0.82,0.072
70,0.9022,0.033,0.881,0.086
71,-0.5312,0.047,0.921,0.032
72,0.9988,0.021,0.739,0.239
73,0.9887,0.01,0.875,0.115
74,-0.2263,0.048,0.924,0.028
75,0.5023,0.077,0.842,0.081
76,-0.9538,0.126,0.824,0.05
77,-0.9828,0.135,0.846,0.019
78,-0.9819,0.124,0.843,0.033
79,-0.9201,0.125,0.84,0.035
80,-0.7172,0.17,0.679,0.15
81,0.765,0.031,0.917,0.052
82,0.9828,0.023,0.869,0.108
83,0.9991,0.044,0.73,0.226
84,-0.5346,0.053,0.911,0.036
85,-0.6428,0.095,0.824,0.081
86,0.3818,0.052,0.89,0.059
87,0.9823,0.009,0.858,0.133
88,0.539,0.017,0.959,0.024
89,-0.9612,0.131,0.831,0.038
90,0.9798,0.066,0.845,0.089
91,-0.9451,0.065,0.902,0.033
92,0.0818,0.073,0.852,0.076
93,-0.8445,0.056,0.917,0.027
94,-0.9178,0.081,0.91,0.009
95,0.9531,0.07,0.798,0.132
96,-0.9555,0.113,0.852,0.035
97,-0.9979,0.195,0.754,0.051
98,0.9566,0.034,0.869,0.097
99,0.9382,0.061,0.853,0.087
100,-0.9584,0.115,0.83,0.055
101,0.5423,0.012,0.949,0.039
102,0.9578,0.024,0.901,0.075
103,-0.9764,0.117,0.822,0.061
