,compound,neg,neu,pos
0,0.9523,0.063,0.828,0.11
1,-0.9709,0.112,0.83,0.058
2,-0.883,0.085,0.867,0.047
3,-0.8966,0.119,0.801,0.08
4,-0.9738,0.134,0.792,0.073
5,0.9811,0.016,0.866,0.119
6,0.992,0.077,0.762,0.161
7,0.9415,0.05,0.874,0.077
8,0.6908,0.0,0.97,0.03
9,-0.9592,0.084,0.852,0.064
10,-0.128,0.055,0.899,0.046
11,-0.3151,0.068,0.871,0.062
12,-0.9231,0.144,0.842,0.015
13,0.9754,0.046,0.848,0.106
14,0.6811,0.033,0.899,0.068
15,-0.9898,0.201,0.706,0.092
16,0.9643,0.003,0.936,0.061
17,0.6808,0.05,0.875,0.075
18,-0.9653,0.125,0.81,0.066
19,-0.9884,0.156,0.762,0.081
20,-0.9705,0.086,0.87,0.044
21,0.5859,0.078,0.829,0.093
22,0.8152,0.114,0.766,0.12
23,-0.9926,0.165,0.813,0.022
24,0.9861,0.0,0.85,0.15
25,0.558,0.051,0.88,0.069
26,-0.9612,0.12,0.854,0.027
27,-0.9618,0.197,0.76,0.043
28,-0.1557,0.081,0.85,0.069
29,-0.9983,0.223,0.735,0.042
30,-0.9847,0.118,0.835,0.047
31,-0.9959,0.178,0.822,0.0
32,0.6979,0.085,0.81,0.105
33,0.9869,0.08,0.769,0.151
