,compound,neg,neu,pos
0,0.967,0.015,0.843,0.143
1,0.9861,0.079,0.773,0.148
2,0.7783,0.05,0.859,0.091
3,-0.5406,0.041,0.926,0.033
4,0.8802,0.047,0.87,0.083
5,-0.6734,0.06,0.891,0.049
6,-0.9937,0.158,0.742,0.1
7,0.981,0.06,0.808,0.131
8,0.8967,0.082,0.79,0.128
9,0.2732,0.032,0.924,0.044
10,0.296,0.069,0.852,0.079
11,-0.9885,0.123,0.871,0.006
12,0.997,0.021,0.818,0.161
13,-0.1779,0.078,0.843,0.079
14,0.5632,0.054,0.886,0.06
15,0.9944,0.013,0.838,0.149
16,-0.34,0.057,0.915,0.028
17,0.9833,0.031,0.867,0.102
18,0.9987,0.021,0.764,0.216
19,0.9325,0.06,0.842,0.098
20,0.9752,0.0,0.803,0.197
21,0.4153,0.093,0.8,0.107
22,-0.8537,0.063,0.872,0.065
23,0.9923,0.0,0.828,0.172
24,-0.9942,0.145,0.832,0.023
25,0.3612,0.018,0.94,0.042
26,-0.5423,0.065,0.886,0.049
27,0.6749,0.051,0.88,0.069
28,-0.9183,0.113,0.816,0.07
29,0.5859,0.073,0.826,0.101
30,-0.9839,0.128,0.84,0.032
31,-0.9959,0.174,0.788,0.038
32,0.3071,0.043,0.912,0.045
33,0.9196,0.048,0.869,0.083
34,0.9987,0.0,0.78,0.22
35,-0.9849,0.179,0.803,0.018
36,-0.0026,0.06,0.883,0.057
37,0.4824,0.069,0.835,0.096
38,-0.9468,0.122,0.878,0.0
39,-0.9235,0.084,0.874,0.042
40,0.8519,0.072,0.825,0.103
41,-0.8662,0.071,0.877,0.052
42,0.1406,0.074,0.864,0.062
43,0.9932,0.061,0.814,0.125
44,-0.4588,0.033,0.949,0.018
45,-0.9884,0.117,0.842,0.041
46,0.9702,0.027,0.861,0.112
47,-0.7351,0.091,0.833,0.076
48,-0.1027,0.09,0.83,0.08
49,-0.2263,0.087,0.84,0.073
50,-0.9945,0.156,0.799,0.045
51,-0.7003,0.107,0.82,0.072
52,0.9898,0.028,0.855,0.117
53,0.1779,0.026,0.941,0.032
54,-0.9432,0.102,0.875,0.023
55,-0.9425,0.095,0.857,0.048
56,-0.9735,0.144,0.803,0.052
57,0.9049,0.037,0.897,0.067
58,-0.9552,0.113,0.822,0.066
59,0.9946,0.01,0.832,0.158
60,-0.9657,0.12,0.843,0.037
61,-0.743,0.067,0.891,0.042
62,0.8793,0.052,0.871,0.077
63,-0.8658,0.069,0.899,0.032
64,-0.9956,0.162,0.826,0.012
65,-0.1195,0.074,0.856,0.07
66,-0.8834,0.146,0.753,0.102
67,-0.9767,0.123,0.821,0.056
68,0.9701,0.008,0.927,0.065
69,-0.886,0.123,0.78,0.097
70,-0.9589,0.1,0.831,0.069
71,0.9711,0.028,0.847,0.125
72,0.9275,0.078,0.803,0.119
73,-0.9992,0.136,0.802,0.062
74,-0.9388,0.106,0.85,0.044
75,0.9809,0.074,0.811,0.115
76,-0.8249,0.093,0.877,0.03
77,0.9955,0.027,0.822,0.151
78,-0.8753,0.075,0.883,0.041
79,0.9843,0.053,0.823,0.124
80,0.8953,0.077,0.799,0.124
81,-0.9868,0.069,0.9,0.031
82,0.9858,0.027,0.854,0.119
83,-0.4474,0.027,0.955,0.018
84,0.9042,0.049,0.868,0.083
85,-0.9694,0.127,0.828,0.045
86,-0.8111,0.076,0.888,0.036
87,0.9088,0.075,0.795,0.13
88,0.9119,0.013,0.893,0.095
89,0.994,0.024,0.834,0.142
90,-0.9935,0.199,0.791,0.01
91,0.4927,0.089,0.812,0.099
92,0.886,0.049,0.852,0.099
93,-0.9149,0.07,0.886,0.045
94,0.9253,0.033,0.888,0.079
95,0.7884,0.046,0.872,0.083
96,-0.962,0.108,0.836,0.056
