,compound,neg,neu,pos
0,-0.9694,0.123,0.833,0.045
1,0.989,0.057,0.826,0.117
2,-0.0222,0.043,0.914,0.043
3,0.1027,0.06,0.892,0.049
4,-0.9953,0.131,0.847,0.023
5,-0.8553,0.081,0.886,0.033
6,-0.2441,0.056,0.893,0.051
7,0.9391,0.011,0.928,0.061
8,-0.8225,0.096,0.857,0.048
9,0.9079,0.042,0.881,0.077
10,0.9323,0.061,0.839,0.1
11,-0.4005,0.07,0.853,0.077
12,-0.6597,0.135,0.751,0.114
13,0.9062,0.0,0.934,0.066
14,-0.6798,0.047,0.921,0.032
15,-0.9603,0.093,0.853,0.053
16,0.4813,0.104,0.789,0.107
17,-0.9286,0.117,0.848,0.035
18,0.9045,0.041,0.897,0.062
19,-0.6124,0.042,0.938,0.019
20,-0.9153,0.066,0.898,0.036
21,0.9889,0.022,0.87,0.108
22,-0.9136,0.119,0.865,0.016
23,0.7615,0.038,0.873,0.089
24,-0.5423,0.051,0.925,0.024
25,0.969,0.028,0.813,0.159
26,-0.6705,0.068,0.901,0.032
27,0.9288,0.007,0.906,0.087
28,0.8074,0.0,0.794,0.206
29,0.836,0.023,0.925,0.052
30,0.9824,0.068,0.786,0.147
31,-0.9685,0.171,0.761,0.067
32,-0.9895,0.129,0.843,0.028
33,-0.9923,0.218,0.76,0.021
34,0.8779,0.0,0.844,0.156
35,-0.7351,0.053,0.939,0.009
36,0.6249,0.062,0.86,0.078
37,-0.988,0.139,0.839,0.023
38,-0.9697,0.079,0.869,0.052
39,0.9823,0.033,0.839,0.128
40,-0.609,0.06,0.893,0.047
41,0.9714,0.035,0.873,0.092
42,-0.9584,0.093,0.877,0.029
43,0.9889,0.0,0.856,0.144
44,-0.7912,0.059,0.901,0.04
45,-0.9169,0.111,0.889,0.0
46,0.8074,0.019,0.876,0.105
47,0.9382,0.028,0.827,0.145
48,-0.9512,0.176,0.778,0.046
49,0.9062,0.0,0.923,0.077
50,0.743,0.0,0.955,0.045
51,-0.9432,0.084,0.874,0.042
52,-0.9864,0.138,0.856,0.006
53,-0.2955,0.084,0.843,0.073
54,-0.5137,0.046,0.927,0.027
55,-0.9804,0.119,0.836,0.044
56,0.8076,0.052,0.868,0.08
57,-0.9145,0.068,0.9,0.033
58,0.5155,0.048,0.871,0.081
59,-0.997,0.207,0.703,0.089
60,-0.9526,0.115,0.77,0.115
61,0.3239,0.082,0.839,0.078
62,-0.9153,0.068,0.895,0.037
63,-0.9816,0.141,0.838,0.021
64,-0.9806,0.172,0.795,0.034
65,-0.7912,0.103,0.797,0.1
66,0.6705,0.012,0.94,0.048
67,-0.3412,0.094,0.834,0.071
68,0.6705,0.012,0.94,0.048
69,-0.3412,0.094,0.834,0.071
70,-0.9442,0.141,0.776,0.083
71,-0.7096,0.062,0.91,0.028
72,-0.9091,0.117,0.872,0.01
73,0.9995,0.013,0.8,0.187
74,0.9955,0.013,0.844,0.143
75,0.3952,0.047,0.9,0.053
76,0.9726,0.054,0.834,0.112
77,0.8875,0.063,0.835,0.102
78,0.9572,0.063,0.836,0.101
79,0.0387,0.082,0.836,0.082
80,0.8995,0.059,0.862,0.08
81,0.9635,0.048,0.863,0.089
82,0.8934,0.028,0.862,0.11
83,-0.9835,0.105,0.875,0.02
84,-0.9847,0.136,0.818,0.046
85,0.9695,0.023,0.908,0.069
86,0.9201,0.048,0.878,0.074
87,0.9169,0.013,0.889,0.097
88,-0.9282,0.08,0.886,0.034
89,-0.9225,0.09,0.865,0.045
90,0.8831,0.048,0.873,0.079
91,0.9737,0.005,0.887,0.107
92,-0.9562,0.132,0.842,0.027
93,0.5122,0.02,0.942,0.038
94,-0.7998,0.101,0.822,0.077
95,-0.2263,0.073,0.874,0.053
96,0.9979,0.0,0.794,0.206
97,-0.2937,0.051,0.904,0.045
98,0.9983,0.022,0.784,0.194
99,-0.9185,0.086,0.858,0.056
100,0.968,0.03,0.85,0.12
101,-0.8885,0.075,0.867,0.058
102,0.9186,0.027,0.91,0.063
103,-0.9607,0.106,0.87,0.025
104,0.4588,0.039,0.9,0.061
105,0.9587,0.025,0.902,0.073
106,-0.0139,0.063,0.869,0.068
107,0.9871,0.033,0.795,0.172
108,0.9682,0.023,0.9,0.077
109,0.9893,0.043,0.856,0.101
110,-0.8085,0.119,0.78,0.101
111,0.4404,0.018,0.951,0.031
112,-0.9686,0.121,0.84,0.039
113,-0.8625,0.126,0.79,0.083
114,0.7269,0.01,0.951,0.039
115,-0.6995,0.087,0.839,0.074
116,-0.7264,0.068,0.865,0.067
117,0.7845,0.044,0.86,0.097
118,0.5346,0.06,0.873,0.067
119,-0.9885,0.17,0.791,0.039
120,0.9287,0.038,0.819,0.142
121,-0.0772,0.038,0.918,0.044
122,-0.0258,0.04,0.93,0.03
123,0.7063,0.019,0.914,0.067
124,-0.3612,0.05,0.896,0.054
