,compound,neg,neu,pos
0,0.9913,0.058,0.82,0.122
1,-0.9222,0.096,0.84,0.064
2,-0.9797,0.228,0.746,0.026
3,-0.6908,0.09,0.88,0.029
4,-0.9949,0.17,0.82,0.01
5,-0.4215,0.067,0.887,0.046
6,0.9958,0.067,0.802,0.131
7,0.34,0.033,0.927,0.04
8,-0.9447,0.087,0.867,0.046
9,0.9661,0.046,0.84,0.114
10,-0.7556,0.051,0.903,0.046
11,0.9812,0.056,0.788,0.156
12,0.4692,0.045,0.911,0.045
13,-0.2134,0.057,0.899,0.044
14,-0.9891,0.081,0.854,0.065
15,0.8402,0.0,0.926,0.074
16,-0.9723,0.117,0.82,0.063
17,0.7096,0.041,0.869,0.09
18,0.9861,0.031,0.779,0.191
19,0.0,0.0,1.0,0.0
20,0.7476,0.024,0.927,0.049
21,0.9878,0.022,0.866,0.112
22,0.9984,0.005,0.821,0.174
23,-0.989,0.142,0.767,0.091
24,0.9065,0.099,0.759,0.142
25,0.9614,0.066,0.804,0.13
26,0.9413,0.016,0.912,0.072
27,-0.1027,0.089,0.819,0.092
28,0.965,0.045,0.89,0.065
29,0.9857,0.0,0.9,0.1
30,-0.8778,0.093,0.907,0.0
31,0.9856,0.066,0.833,0.101
32,0.296,0.021,0.945,0.034
33,0.9882,0.02,0.805,0.175
34,-0.9961,0.101,0.84,0.059
35,0.6331,0.051,0.887,0.062
36,-0.8934,0.069,0.914,0.018
37,-0.7555,0.119,0.778,0.103
38,0.128,0.039,0.918,0.043
39,0.9648,0.032,0.886,0.082
40,-0.9761,0.195,0.769,0.036
41,0.9342,0.083,0.775,0.142
42,0.9592,0.048,0.847,0.105
43,-0.1027,0.086,0.824,0.09
44,0.8591,0.0,0.936,0.064
45,0.8937,0.041,0.874,0.086
46,0.7783,0.076,0.823,0.101
47,0.765,0.034,0.894,0.072
48,0.9887,0.055,0.81,0.135
49,0.6908,0.009,0.95,0.041
50,0.8126,0.038,0.887,0.075
51,0.9956,0.006,0.809,0.185
52,0.9994,0.041,0.809,0.15
53,0.8519,0.055,0.849,0.097
54,0.9371,0.052,0.799,0.15
55,-0.6438,0.094,0.818,0.088
56,0.5828,0.068,0.842,0.089
57,-0.9136,0.112,0.861,0.027
58,-0.7964,0.083,0.901,0.016
59,0.9427,0.04,0.856,0.103
60,0.9951,0.029,0.862,0.109
61,-0.9924,0.132,0.858,0.011
62,0.3818,0.0,0.951,0.049
63,-0.9543,0.125,0.787,0.088
64,0.891,0.039,0.83,0.131
65,0.8555,0.05,0.877,0.074
66,0.9738,0.066,0.805,0.129
67,0.9831,0.0,0.854,0.146
68,0.7476,0.024,0.927,0.049
69,0.9738,0.066,0.805,0.129
70,0.9979,0.061,0.737,0.202
71,-0.171,0.06,0.901,0.04
72,0.9978,0.039,0.799,0.162
73,-0.6553,0.077,0.866,0.057
74,-0.9711,0.136,0.812,0.052
75,-0.0525,0.066,0.851,0.083
76,-0.6597,0.09,0.85,0.06
77,0.9979,0.061,0.737,0.202
