,compound,neg,neu,pos
0,-0.9538,0.091,0.871,0.038
1,0.996,0.023,0.833,0.145
2,0.9977,0.058,0.833,0.108
3,-0.7506,0.081,0.855,0.064
4,0.9925,0.024,0.868,0.108
5,-0.9595,0.143,0.837,0.021
6,0.9638,0.027,0.879,0.094
7,0.9903,0.055,0.807,0.138
8,-0.994,0.108,0.869,0.023
9,0.9972,0.012,0.889,0.099
10,0.9559,0.024,0.896,0.08
11,0.9741,0.0,0.894,0.106
12,-0.9508,0.075,0.889,0.036
13,0.9821,0.02,0.828,0.152
14,0.6767,0.074,0.826,0.101
15,0.9696,0.016,0.899,0.085
16,0.9151,0.034,0.901,0.065
17,0.8779,0.038,0.891,0.071
18,-0.8126,0.111,0.79,0.098
19,0.9912,0.007,0.87,0.124
20,0.8683,0.0,0.922,0.078
21,-0.9864,0.113,0.844,0.043
22,-0.743,0.111,0.806,0.083
23,-0.7261,0.106,0.816,0.078
24,0.1738,0.082,0.838,0.08
25,-0.979,0.089,0.903,0.008
26,-0.7269,0.128,0.752,0.121
27,0.9991,0.013,0.776,0.212
28,-0.6705,0.096,0.852,0.052
29,0.995,0.064,0.787,0.148
30,0.9943,0.042,0.796,0.161
31,-0.7269,0.206,0.732,0.062
32,-0.4779,0.086,0.829,0.085
33,0.9826,0.023,0.884,0.093
34,-0.8763,0.088,0.846,0.066
35,-0.3612,0.064,0.871,0.066
36,0.1174,0.055,0.896,0.049
37,0.9912,0.018,0.785,0.197
38,0.9774,0.007,0.844,0.149
39,-0.5859,0.075,0.859,0.066
40,-0.6965,0.046,0.916,0.037
41,-0.9822,0.104,0.846,0.05
42,-0.9772,0.092,0.881,0.027
43,0.9871,0.03,0.864,0.106
44,-0.9087,0.054,0.932,0.014
45,0.8979,0.024,0.917,0.059
46,-0.8744,0.101,0.833,0.065
47,0.6303,0.014,0.921,0.065
48,0.0516,0.075,0.838,0.087
49,-0.4019,0.048,0.91,0.042
50,0.9925,0.07,0.784,0.145
51,-0.7695,0.065,0.89,0.045
52,-0.7845,0.099,0.824,0.077
53,-0.997,0.176,0.766,0.058
54,0.9777,0.028,0.803,0.169
55,0.9916,0.05,0.86,0.09
56,-0.8483,0.097,0.839,0.064
57,0.9888,0.079,0.769,0.152
58,0.6249,0.06,0.858,0.081
59,-0.1079,0.066,0.864,0.07
60,-0.929,0.135,0.779,0.086
61,0.9313,0.0,0.914,0.086
62,0.9136,0.089,0.784,0.127
63,0.9881,0.011,0.918,0.072
64,-0.1027,0.045,0.913,0.042
65,-0.9545,0.079,0.909,0.012
66,0.962,0.01,0.87,0.12
67,0.9785,0.039,0.799,0.162
68,-0.6957,0.047,0.927,0.026
69,-0.9811,0.183,0.773,0.043
70,-0.9676,0.077,0.89,0.033
71,0.765,0.015,0.949,0.036
72,-0.9075,0.115,0.828,0.057
73,-0.8126,0.093,0.829,0.079
74,-0.9925,0.149,0.789,0.061
75,-0.9885,0.1,0.882,0.018
76,-0.7914,0.104,0.816,0.081
77,-0.9905,0.208,0.781,0.012
78,0.9325,0.042,0.863,0.096
79,-0.756,0.065,0.872,0.062
80,-0.1833,0.082,0.844,0.074
81,0.9036,0.047,0.88,0.073
82,0.7304,0.072,0.846,0.083
83,-0.0644,0.043,0.916,0.042
84,0.4848,0.052,0.864,0.084
85,-0.9368,0.093,0.831,0.076
86,0.7757,0.068,0.855,0.077
87,-0.8885,0.067,0.901,0.031
88,-0.9825,0.152,0.767,0.08
89,-0.9294,0.102,0.898,0.0
90,0.0258,0.026,0.953,0.02
91,0.2023,0.075,0.851,0.074
92,0.9313,0.018,0.875,0.106
93,0.891,0.037,0.831,0.132
94,0.9703,0.021,0.903,0.076
95,0.2023,0.067,0.867,0.066
96,0.844,0.042,0.879,0.079
