,compound,neg,neu,pos
0,-0.8721,0.125,0.799,0.076
1,0.8689,0.026,0.917,0.058
2,-0.9818,0.149,0.755,0.096
3,0.5574,0.019,0.943,0.039
4,0.7823,0.091,0.799,0.11
5,-0.3581,0.085,0.828,0.086
6,0.2422,0.067,0.86,0.073
7,0.9381,0.032,0.927,0.041
8,0.6947,0.081,0.83,0.089
9,0.9747,0.017,0.832,0.151
10,-0.9938,0.149,0.79,0.06
11,0.9856,0.02,0.887,0.092
12,-0.91,0.078,0.849,0.072
13,-0.9027,0.103,0.823,0.074
14,0.9812,0.0,0.847,0.153
15,0.8573,0.011,0.946,0.043
16,0.8445,0.048,0.873,0.079
17,-0.9755,0.19,0.777,0.033
18,-0.9527,0.115,0.836,0.049
19,0.9539,0.051,0.865,0.084
20,0.6908,0.0,0.961,0.039
21,0.2732,0.056,0.874,0.071
22,0.4623,0.057,0.887,0.056
23,-0.9904,0.19,0.725,0.085
24,0.9723,0.056,0.801,0.144
25,0.7447,0.104,0.791,0.105
26,0.2023,0.078,0.849,0.074
27,0.9861,0.023,0.842,0.135
28,0.7876,0.077,0.813,0.109
29,0.9325,0.055,0.835,0.109
30,0.9952,0.023,0.882,0.095
31,0.8225,0.012,0.94,0.048
32,-0.959,0.123,0.799,0.078
33,-0.0302,0.044,0.91,0.047
34,-0.7814,0.089,0.84,0.072
35,0.9928,0.033,0.828,0.139
