,compound,neg,neu,pos
0,-0.9149,0.115,0.835,0.05
1,-0.979,0.098,0.847,0.055
2,0.9853,0.014,0.88,0.106
3,0.9985,0.006,0.768,0.226
4,0.7429,0.047,0.89,0.063
5,0.9991,0.028,0.749,0.223
6,0.9994,0.041,0.621,0.337
7,0.9928,0.02,0.835,0.145
8,-0.9859,0.107,0.835,0.057
9,0.9982,0.009,0.808,0.183
10,0.6643,0.041,0.901,0.058
11,0.9934,0.0,0.848,0.152
12,0.8934,0.075,0.828,0.097
13,-0.977,0.117,0.819,0.064
14,-0.8945,0.071,0.882,0.046
15,0.9947,0.118,0.688,0.194
16,-0.4159,0.093,0.82,0.087
17,-0.8225,0.046,0.929,0.025
18,0.9638,0.0,0.873,0.127
19,0.9971,0.053,0.728,0.219
20,-0.6402,0.09,0.833,0.077
21,-0.8934,0.168,0.783,0.049
22,0.997,0.035,0.794,0.171
23,0.9764,0.048,0.85,0.102
24,0.9731,0.0,0.881,0.119
25,0.9982,0.03,0.839,0.131
26,0.4588,0.043,0.905,0.052
27,0.997,0.03,0.877,0.093
28,0.9001,0.0,0.893,0.107
29,-0.9842,0.135,0.774,0.091
30,-0.9985,0.203,0.766,0.031
31,0.8834,0.069,0.798,0.133
32,0.9967,0.039,0.78,0.181
33,-0.7992,0.082,0.87,0.049
34,-0.9819,0.182,0.801,0.018
35,0.0644,0.052,0.912,0.036
36,0.9965,0.007,0.869,0.125
37,0.9986,0.003,0.773,0.223
38,-0.6249,0.049,0.919,0.032
39,0.802,0.0,0.964,0.036
40,0.961,0.063,0.852,0.085
41,-0.9953,0.12,0.827,0.054
42,0.9309,0.129,0.718,0.153
43,0.9951,0.068,0.744,0.187
44,0.9746,0.109,0.732,0.16
45,0.8687,0.068,0.839,0.092
46,0.9636,0.076,0.802,0.123
47,0.9949,0.008,0.842,0.15
48,0.9953,0.039,0.725,0.236
49,-0.8132,0.057,0.885,0.058
50,0.7717,0.025,0.912,0.063
51,0.79,0.087,0.819,0.095
52,0.9167,0.029,0.897,0.074
53,0.8711,0.044,0.892,0.064
54,0.9923,0.009,0.829,0.162
55,-0.9561,0.133,0.82,0.047
56,0.9782,0.023,0.882,0.096
57,-0.7372,0.075,0.851,0.074
58,0.9545,0.062,0.825,0.113
59,-0.9169,0.109,0.826,0.065
60,-0.3871,0.089,0.825,0.086
61,0.9735,0.051,0.838,0.11
62,0.9962,0.035,0.839,0.126
63,0.656,0.029,0.921,0.05
64,-0.9201,0.075,0.904,0.02
65,0.5939,0.053,0.877,0.07
66,0.5939,0.053,0.877,0.07
67,-0.8715,0.115,0.809,0.076
68,0.4886,0.04,0.907,0.054
69,0.7311,0.02,0.937,0.043
70,-0.9781,0.104,0.868,0.028
71,0.9974,0.039,0.821,0.14
72,-0.9835,0.117,0.849,0.034
73,0.9989,0.042,0.832,0.126
74,-0.9989,0.155,0.778,0.067
75,-0.9468,0.069,0.894,0.038
76,0.9991,0.065,0.824,0.111
77,-0.9587,0.062,0.907,0.032
78,-0.9731,0.096,0.852,0.053
79,-0.835,0.07,0.871,0.059
80,0.9909,0.101,0.74,0.159
81,0.9868,0.063,0.822,0.114
82,-0.4767,0.09,0.83,0.081
83,-0.9835,0.117,0.849,0.034
84,0.9697,0.089,0.809,0.102
85,-0.9153,0.099,0.845,0.056
86,-0.0431,0.051,0.893,0.056
87,-0.9974,0.239,0.74,0.021
88,-0.9769,0.124,0.854,0.023
89,-0.9142,0.115,0.813,0.072
90,0.9838,0.022,0.852,0.126
91,0.9702,0.0,0.888,0.112
92,-0.9612,0.066,0.891,0.043
93,0.9587,0.0,0.868,0.132
94,0.743,0.012,0.955,0.033
95,0.9847,0.095,0.756,0.148
