,compound,neg,neu,pos
0,0.9987,0.032,0.742,0.226
1,0.0,0.0,1.0,0.0
2,0.2792,0.08,0.846,0.074
3,0.7198,0.071,0.831,0.098
4,-0.9726,0.128,0.872,0.0
5,-0.3903,0.037,0.939,0.023
6,-0.9905,0.082,0.862,0.057
7,0.9923,0.017,0.821,0.162
8,0.9851,0.046,0.801,0.153
9,0.9847,0.026,0.86,0.115
10,-0.9485,0.075,0.904,0.021
11,0.1081,0.067,0.853,0.08
12,-0.0931,0.067,0.871,0.062
13,0.9967,0.043,0.764,0.193
14,0.9926,0.035,0.826,0.139
15,0.9488,0.049,0.873,0.078
16,0.9371,0.014,0.944,0.041
17,0.9612,0.0,0.896,0.104
18,-0.9699,0.103,0.839,0.058
19,-0.7935,0.057,0.908,0.035
20,0.9366,0.023,0.899,0.078
21,-0.8934,0.062,0.894,0.044
22,-0.9163,0.119,0.793,0.088
23,0.9977,0.067,0.773,0.16
24,0.8739,0.063,0.851,0.087
25,-0.4939,0.033,0.955,0.013
26,0.805,0.077,0.82,0.103
27,-0.5346,0.075,0.859,0.066
28,-0.8083,0.094,0.853,0.053
29,-0.5493,0.096,0.843,0.061
30,0.9839,0.029,0.715,0.256
31,0.9756,0.037,0.831,0.132
32,0.7951,0.018,0.902,0.079
33,0.9501,0.029,0.859,0.112
34,0.8827,0.053,0.865,0.082
35,0.9955,0.043,0.872,0.085
36,0.9782,0.033,0.865,0.103
37,0.9786,0.027,0.866,0.107
38,-0.875,0.087,0.864,0.049
39,0.868,0.05,0.876,0.073
40,-0.9877,0.184,0.768,0.049
41,0.3182,0.062,0.866,0.072
42,-0.9589,0.131,0.777,0.092
43,-0.8637,0.069,0.894,0.037
44,-0.7003,0.045,0.929,0.026
45,0.9506,0.0,0.947,0.053
46,-0.9151,0.057,0.91,0.033
47,-0.9131,0.1,0.833,0.066
48,-0.7926,0.091,0.835,0.074
49,-0.9087,0.117,0.812,0.071
50,0.9814,0.034,0.87,0.096
51,0.9898,0.013,0.84,0.147
52,0.8603,0.044,0.892,0.064
53,-0.9222,0.109,0.819,0.072
54,0.9876,0.017,0.809,0.174
55,0.9678,0.021,0.88,0.099
56,-0.0516,0.032,0.946,0.022
57,0.9074,0.031,0.899,0.07
58,-0.2052,0.035,0.929,0.036
59,-0.7355,0.067,0.88,0.054
60,0.7935,0.093,0.803,0.105
61,0.6267,0.064,0.836,0.1
62,0.8885,0.084,0.804,0.112
63,0.9419,0.047,0.86,0.093
64,0.9825,0.017,0.869,0.114
65,-0.1289,0.041,0.919,0.039
66,0.9022,0.035,0.834,0.131
67,0.7757,0.023,0.934,0.043
68,0.9865,0.05,0.811,0.139
69,-0.2023,0.012,0.978,0.01
70,0.8359,0.01,0.907,0.082
71,-0.8662,0.08,0.859,0.062
72,0.9888,0.0,0.822,0.178
73,-0.8122,0.08,0.869,0.051
74,0.9638,0.069,0.719,0.212
75,0.2773,0.032,0.931,0.037
76,0.4588,0.018,0.946,0.037
77,0.9941,0.017,0.866,0.117
78,0.9721,0.053,0.824,0.123
79,-0.8658,0.1,0.833,0.067
80,-0.9159,0.08,0.87,0.05
81,-0.9726,0.103,0.849,0.048
82,0.2732,0.011,0.968,0.021
83,0.791,0.0,0.929,0.071
84,0.9723,0.056,0.749,0.195
