,compound,neg,neu,pos
0,-0.3111,0.07,0.852,0.079
1,0.9699,0.089,0.776,0.136
2,0.6586,0.087,0.81,0.103
3,-0.9934,0.137,0.773,0.09
4,0.5478,0.105,0.773,0.123
5,0.9902,0.033,0.859,0.108
6,0.25,0.06,0.872,0.068
7,-0.7479,0.09,0.853,0.057
8,0.969,0.009,0.831,0.159
9,0.9904,0.004,0.846,0.15
10,0.9658,0.062,0.778,0.16
11,-0.9943,0.083,0.887,0.03
12,-0.0644,0.046,0.913,0.041
13,0.899,0.044,0.841,0.114
14,0.9231,0.021,0.913,0.066
15,-0.7865,0.057,0.92,0.023
16,-0.948,0.119,0.797,0.084
17,0.9121,0.042,0.881,0.077
18,0.9672,0.013,0.868,0.119
19,0.926,0.028,0.824,0.148
20,0.0772,0.011,0.977,0.012
21,-0.9545,0.141,0.859,0.0
22,0.0,0.0,1.0,0.0
23,0.765,0.053,0.872,0.075
24,-0.818,0.128,0.763,0.109
25,-0.8603,0.108,0.827,0.065
26,0.9274,0.053,0.848,0.1
27,-0.9834,0.091,0.891,0.018
28,0.98,0.064,0.818,0.117
29,0.9869,0.05,0.755,0.195
30,0.0966,0.098,0.787,0.115
31,0.9423,0.045,0.83,0.125
32,-0.9178,0.15,0.85,0.0
33,0.7709,0.039,0.903,0.058
34,-0.9232,0.121,0.827,0.052
35,-0.7351,0.1,0.839,0.061
36,0.9936,0.022,0.829,0.149
37,0.9979,0.033,0.815,0.152
38,0.8979,0.021,0.853,0.126
39,0.9437,0.006,0.944,0.05
40,-0.8519,0.151,0.795,0.054
41,-0.5427,0.039,0.92,0.041
42,0.3818,0.097,0.803,0.1
43,-0.8468,0.099,0.859,0.042
44,0.991,0.0,0.846,0.154
45,-0.9456,0.134,0.854,0.012
46,-0.9674,0.179,0.803,0.018
47,-0.9915,0.112,0.794,0.094
48,-0.8857,0.098,0.848,0.054
49,0.9008,0.052,0.866,0.081
50,-0.5224,0.052,0.909,0.038
51,0.9879,0.024,0.871,0.105
52,-0.815,0.064,0.887,0.05
53,0.9565,0.048,0.841,0.111
54,0.9967,0.065,0.705,0.229
55,-0.8813,0.085,0.869,0.046
56,0.9486,0.045,0.879,0.076
57,-0.8599,0.086,0.839,0.074
58,-0.946,0.188,0.755,0.057
59,0.9179,0.032,0.886,0.081
60,0.9443,0.021,0.887,0.092
61,-0.8669,0.093,0.864,0.042
62,-0.956,0.094,0.868,0.038
63,0.9398,0.007,0.879,0.114
64,0.91,0.021,0.888,0.091
65,-0.5106,0.098,0.818,0.084
66,0.9958,0.0,0.839,0.161
67,-0.9601,0.106,0.851,0.043
68,0.9938,0.022,0.86,0.118
69,0.6249,0.046,0.87,0.084
70,0.9761,0.0,0.845,0.155
71,0.5859,0.019,0.929,0.052
72,-0.4215,0.057,0.912,0.031
73,-0.9507,0.087,0.89,0.023
74,-0.5439,0.059,0.883,0.058
75,0.9702,0.0,0.88,0.12
76,-0.9961,0.179,0.775,0.045
77,0.4247,0.069,0.869,0.062
78,-0.9319,0.108,0.843,0.049
79,0.9861,0.038,0.82,0.142
80,-0.9733,0.129,0.822,0.049
81,0.9734,0.078,0.773,0.149
82,-0.873,0.095,0.833,0.072
83,0.9038,0.04,0.882,0.079
84,-0.3818,0.032,0.932,0.035
85,-0.9828,0.139,0.822,0.039
86,0.9268,0.041,0.885,0.074
87,-0.4215,0.042,0.923,0.034
88,-0.684,0.068,0.867,0.065
89,0.9764,0.072,0.794,0.133
90,0.6808,0.045,0.899,0.056
91,-0.9329,0.111,0.822,0.067
92,-0.6059,0.038,0.962,0.0
93,0.992,0.022,0.822,0.156
94,0.9244,0.038,0.883,0.079
95,-0.3506,0.042,0.915,0.043
96,-0.8635,0.106,0.861,0.033
97,0.2874,0.024,0.933,0.043
98,0.9732,0.011,0.874,0.115
99,-0.9714,0.116,0.801,0.083
100,-0.9393,0.19,0.695,0.115
101,-0.9832,0.139,0.802,0.059
102,-0.9944,0.231,0.726,0.043
103,0.9931,0.0,0.846,0.154
104,-0.9034,0.058,0.929,0.013
105,0.957,0.03,0.88,0.09
106,0.9201,0.036,0.888,0.076
107,-0.8859,0.129,0.786,0.085
108,-0.9885,0.245,0.721,0.034
109,-0.983,0.182,0.743,0.075
110,-0.8625,0.091,0.851,0.058
111,-0.7613,0.051,0.912,0.036
112,-0.97,0.1,0.839,0.062
113,-0.9955,0.227,0.718,0.056
114,0.972,0.038,0.787,0.175
115,0.983,0.022,0.908,0.071
116,0.5312,0.064,0.861,0.074
117,-0.7964,0.067,0.933,0.0
118,-0.89,0.111,0.865,0.025
119,0.9506,0.042,0.779,0.179
120,-0.9678,0.102,0.831,0.068
121,-0.9485,0.15,0.816,0.034
122,-0.9337,0.101,0.861,0.038
123,-0.6124,0.043,0.957,0.0
124,-0.9694,0.232,0.725,0.044
125,-0.9259,0.08,0.878,0.042
126,-0.9116,0.075,0.875,0.049
127,-0.581,0.076,0.87,0.055
128,0.9621,0.079,0.817,0.104
129,0.9852,0.024,0.899,0.077
130,0.9459,0.068,0.806,0.127
131,0.8223,0.032,0.902,0.066
